Session,Gaze Direction
Session Number 1,0.9395367903258864
Session Number 1,0.9403508771929825
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,23.5
Session Number 1,23.5
Session Number 1,27.0
Session Number 1,1.5694444444444444
Session Number 1,1.7443019943019944
Session Number 1,1.4305194805194805
Session Number 1,1.5647186147186147
Session Number 1,1.5194931773879143
Session Number 1,1.4140625
Session Number 1,1.249059405940594
Session Number 1,1.427264150943396
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9705882352941176
Session Number 1,0.9705882352941176
Session Number 1,0.9393382352941176
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9705882352941176
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9705882352941176
Session Number 1,0.9351679104477613
Session Number 1,0.9596153846153845
Session Number 1,1.0767543859649122
Session Number 1,0.95703125
Session Number 1,0.9246575342465753
Session Number 1,0.9507575757575757
Session Number 1,1.0
Session Number 1,0.96875
Session Number 1,0.9411764705882353
Session Number 1,0.9705882352941176
Session Number 1,0.9705882352941176
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9705882352941176
Session Number 1,0.96875
Session Number 1,0.9375
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9666666666666667
Session Number 1,0.9375
Session Number 1,1.0
Session Number 1,0.9375
Session Number 1,0.96875
Session Number 1,1.0
Session Number 1,0.96875
Session Number 1,1.0
Session Number 1,0.9393382352941176
Session Number 1,0.96875
Session Number 1,1.0
Session Number 1,0.9375
Session Number 1,0.9393382352941176
Session Number 1,0.96875
Session Number 1,0.96875
Session Number 1,0.9393382352941176
Session Number 1,0.9393382352941176
Session Number 1,0.96875
Session Number 1,0.96875
Session Number 1,0.96875
Session Number 1,0.9666666666666667
Session Number 1,0.9666666666666667
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.96875
Session Number 1,0.9333333333333333
Session Number 1,0.930952380952381
Session Number 1,0.9666666666666667
Session Number 1,0.96875
Session Number 1,0.9333333333333333
Session Number 1,0.96875
Session Number 1,0.9666666666666667
Session Number 1,0.9354166666666667
Session Number 1,0.9666666666666667
Session Number 1,0.9666666666666667
Session Number 1,0.9333333333333333
Session Number 1,1.0
Session Number 1,0.9333333333333333
Session Number 1,0.9666666666666667
Session Number 1,0.96875
Session Number 1,0.9666666666666667
Session Number 1,0.9666666666666667
Session Number 1,0.9393382352941176
Session Number 1,0.9666666666666667
Session Number 1,1.0
Session Number 1,0.9666666666666667
Session Number 1,0.9354166666666667
Session Number 1,0.9333333333333333
Session Number 1,1.0
Session Number 1,0.9333333333333333
Session Number 1,1.0
Session Number 1,0.96875
Session Number 1,0.96875
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9642857142857143
Session Number 1,0.9705882352941176
Session Number 1,0.9642857142857143
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9375
Session Number 1,0.9615384615384616
Session Number 1,0.9375
Session Number 1,1.0
Session Number 1,0.9666666666666667
Session Number 1,0.9258241758241759
Session Number 1,0.9258241758241759
Session Number 1,0.9642857142857143
Session Number 1,0.9285714285714286
Session Number 1,0.9642857142857143
Session Number 1,1.0
Session Number 1,0.9642857142857143
Session Number 1,0.9258241758241759
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9615384615384616
Session Number 1,0.9615384615384616
Session Number 1,1.0
Session Number 1,1.0
Session Number 1,0.9545454545454546
Session Number 1,0.9772727272727273
Session Number 1,0.8947368421052632
Session Number 1,0.9081632653061225
Session Number 1,0.8713696004717677
Session Number 1,0.9687296343738061
Session Number 1,0.9296536796536796
Session Number 1,0.9711538461538461
Session Number 1,0.8959537572254335
Session Number 1,0.8997724974721941
Session Number 1,0.9160482374768089
Session Number 1,0.8239130434782609
Session Number 1,0.9722222222222222
Session Number 1,0.967948717948718
